sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
JX5,735.353645031761,50.1621505709191,-0.429279997,571.139632890054,50.548576980708,-0.303266998,0.6017044,0.6075646,23.84597,23.75144,52.9179625235536,49.9132913171829,0.056779798,-0.0332285,-0.02948305,51.1872728443432,49.6009710276816
LS1,538.210805953823,46.6059022541704,-0.180390671,482.937279498236,50.2009976479812,-0.038298706,0.5660278,0.6033663,24.45053,23.88486,49.9646291370002,50.3192322795994,-0.007097084,-0.033224094,-0.03182069,49.904813710807,48.189804757553
LS2,555.591138014063,47.5078583693869,-0.355220686,487.729912461746,48.2986684221764,-0.377184542,0.57567,0.5859456,24.27858,24.15194,50.2679418853648,48.1673444959031,0.041788013,-0.03755839,-0.02924876,58.8895296571499,47.7812089606884
LS3,500.43701899659,48.9254963468095,-0.495660984,487.958888465931,52.2813323182337,-0.788918919,0.5891931,0.618857,24.08193,23.59134,50.227826553507,52.3219542857143,-0.041692581,-0.034422908,-0.02746535,55.3153501630402,48.7486588601331
LS4,463.108482980434,53.5288863575449,0.319112168319485,443.166481840865,55.4358830052675,0.0702148599944552,0.6322888,0.6513035,23.38967,23.07156,54.4629644030301,55.538038290788,-0.01973954,-0.020967324,-0.02284389,51.06232104,48.8948905385166
LS5,502.776003870344,50.5008369617804,0.598582486695694,519.139130434783,54.9948599033816,0.844647342995169,0.5990346,0.6442587,23.78887,23.14267,52.4612645348837,55.0444680851064,-0.049240208,-0.011066803,-0.0145875,55.6718886792008,47.9259839011774
LSL1,586.421387608231,47.0420200157427,-0.227488587,511.68333840073,52.019296138644,-0.104639708,0.5693096,0.6176383,24.37223,23.64311,50.2028182084375,51.6255863539446,-0.028340404,-0.023249468,-0.0236042,47.7862759169124,49.757511670769
LSL2,570.932865336086,45.8720709337004,-0.381955586,491.015135824106,51.7404939058392,-0.49305186,0.5571898,0.6144857,24.60556,23.70366,50.2861711235842,51.7021707589286,-0.028158828,-0.02829842,-0.02811245,59.1007027798986,49.2137120950876
LSL3,538.822885491217,46.5418311646064,0.0110291151594014,478.382220216606,52.9939959386282,-0.079935695,0.5652343,0.627512,24.4813,23.50427,50.527605163769,52.9360356699402,-0.047665637,-0.025673716,-0.02517788,48.8963177391529,50.3165889070078
LSL4,566.528645088689,49.328267827659,-0.251778846,463.493461435815,53.4229025887377,-0.223569789,0.5908561,0.6325774,24.07564,23.41697,51.3497399300202,53.214657980456,-0.036317965,-0.025572685,-0.02897742,57.4120005423068,50.355115943672
LSL5,551.855933628567,49.0244066371433,-0.312418858,458.87868749014,53.5904141031709,-0.323961193,0.5889798,0.6330742,24.12702,23.38283,51.3122257290746,53.3328590593434,-0.039379179,-0.025475521,-0.02863585,53.4469934734973,49.7606512165464
LUS1,478.608374133007,47.4063066095471,-0.346334404,466.69841668761,49.7482709223423,-0.315390802,0.5739852,0.5989552,24.31719,23.94044,48.6777958829238,48.5716261321704,0.002181071,-0.035220225,-0.02932332,41.0576240250044,50.1590257193875
LUS2,448.022539322199,53.8798508188747,0.0274947300145938,446.149928876245,55.5235618776671,0.0248904694167852,0.6335768,0.6500586,23.30779,23.08284,53.5589123376623,54.7460290350128,-0.02216469,-0.01781525,-0.01893939,44.9283353628863,49.7976414582429
LUS3,446.489564998743,54.0645536836812,-0.137025396,447.484872611465,55.7869904458599,-0.581926752,0.635486,0.6514489,23.36432,23.0716,54.8027913415555,55.708628935831,-0.016529041,-0.026772953,-0.02428974,42.4506807432082,49.7425540598658
LUS4,439.923185896427,54.6140894065796,0.410138517235952,438.893189243529,55.9720356873586,0.108522241769289,0.6404053,0.6546814,23.15975,22.99515,54.8125933511895,55.5587349094567,-0.013612594,-0.017071906,-0.0184293,46.4681384888197,49.7767814939793
LUS5,462.736487953115,53.1999739526807,0.0428717169524636,464.404200442152,55.1938946204864,-0.257896094,0.6284448,0.6480121,23.45394,23.12497,54.2220899413426,55.2555252488021,-0.019059304,-0.019793275,-0.01858655,45.6598777128333,49.075424302907
MAL1,464.722298563398,48.2729881324172,-0.035421611,473.87980556783,50.6554326115776,-0.100002651,0.5821646,0.6079081,24.10524,23.72463,49.3349892062697,50.5446068806934,-0.024518454,-0.029286575,-0.03165117,46.0115977254396,50.2751940849021
MAL2,468.914470430297,47.881163710874,0.0323542711792553,478.43720509989,50.4596295552655,-0.047140849,0.5773905,0.6038887,24.13789,23.73704,49.0883787417734,50.2248201727949,-0.023150926,-0.031894003,-0.03449465,44.7329259706217,50.6264389099541
MAL3,471.518339221074,48.3792188931048,-0.012215535,472.770498183705,51.4162571354437,-0.000967826,0.580726,0.6110035,24.08233,23.62046,49.9463253012048,51.4014730694354,-0.029134231,-0.027579018,-0.03065038,53.4332591884738,50.2910442885583
MAL4,478.291366906475,50.4126652963344,-0.190243805,476.131948241298,52.5410351740477,-0.100734463,0.5993919,0.6242814,23.8114,23.51321,50.1499296499657,51.4585112205802,-0.026093388,-0.032423135,-0.03626327,56.8525722922042,49.1906919780743
MAL5,464.160491213212,48.3697637095067,0.0991590091043828,468.605898456944,51.6527215032354,-0.278943504,0.5820075,0.6159505,24.08895,23.58556,49.7767264478928,51.3501307596513,-0.031609236,-0.032141237,-0.03084964,61.5071254175543,49.0189761501608
MUL1,444.694032366824,54.1472850640593,0.429346763317599,466.644116588701,54.9529920834833,0.255244692335372,0.6370892,0.6444129,23.26626,23.12299,53.031867723975,54.0559593232541,-0.019310872,-0.017350836,-0.02165657,49.2948584756138,50.0021743054677
MUL2,443.530026990553,53.0664865047233,0.144490553306343,456.791666666667,54.3016549707602,-0.018154971,0.6263997,0.6394623,23.37987,23.20947,52.1130642437344,53.2771531030445,-0.022337755,-0.02381172,-0.0291619,47.9108209313584,50.1864574179005
MUL3,449.598998634502,54.1030393718707,0.332539827036868,468.338554486462,55.1397918997539,0.226334750503468,0.6335813,0.6446354,23.22583,23.09325,53.2640077466393,54.2613412449619,-0.018724342,-0.020147994,-0.02319608,66.035002185129,48.3406648893773
MUL4,457.677124928694,53.6155379349686,0.507454649172847,481.070711896799,54.9322527472527,0.545255613951266,0.6298112,0.6443942,23.31255,23.07649,53.5447236180905,54.6556708921311,-0.020748025,-0.020481719,-0.02214717,48.8237180252622,50.463264939576
MUL5,452.21948776649,52.4275783373873,0.29279152954643,468.877253488008,53.7167440037623,0.404884778178398,0.6193996,0.6324087,23.48671,23.3134,52.1471543143573,53.4073070890841,-0.024165322,-0.023046831,-0.02790031,49.8744278264124,50.3172827630344
NBH1,467.86592269125,54.1909526120007,-0.182587741,462.752158894646,55.1990846286701,0.367107081174439,0.6366341,0.6502403,23.21391,23.12773,50.650960103795,51.974961038961,-0.026139701,-0.018960688,-0.03066719,52.9909505960341,50.6109141216803
